,Course,TermName,ClassAveLetter,ClassAveNum,SubjectCode,URL,Instructor,Instructor_1,Instructor_2,Instructor_3
9385,PHYS357,F2017,B+,3.3,PHYS,https://www.mcgill.ca/study/2017-2018/courses/phys-357,"Guo, Hong","Guo, Hong",,
9386,PHYS357,F2018,B+,3.3,PHYS,https://www.mcgill.ca/study/2018-2019/courses/phys-357,"Pereg-Barnea, Tamar","Pereg-Barnea, Tamar",,
9387,PHYS357,F2020,A,4.0,PHYS,https://www.mcgill.ca/study/2020-2021/courses/phys-357,"Pereg-Barnea, Tami","Pereg-Barnea, Tami",,
9388,PHYS357,F2021,A-,3.7,PHYS,https://www.mcgill.ca/study/2021-2022/courses/phys-357,"Pereg-Barnea, Tami","Pereg-Barnea, Tami",,
9389,PHYS357,F2022,B+,3.3,PHYS,https://www.mcgill.ca/study/2022-2023/courses/phys-357,"Agarwal, Kartiek","Agarwal, Kartiek",,
9390,PHYS357,F2023,B+,3.3,PHYS,https://www.mcgill.ca/study/2023-2024/courses/phys-357,"Agarwal, Kartiek","Agarwal, Kartiek",,
9391,PHYS359,W2017,A-,3.7,PHYS,https://www.mcgill.ca/study/2016-2017/courses/phys-359,"Ryan, Dominic; Brunner, Thomas","Ryan, Dominic","Brunner, Thomas",
9392,PHYS359,W2018,A-,3.7,PHYS,https://www.mcgill.ca/study/2017-2018/courses/phys-359,"Ryan, Dominic; Childress, Lilian","Ryan, Dominic","Childress, Lilian",
9393,PHYS359,W2019,A,4.0,PHYS,https://www.mcgill.ca/study/2018-2019/courses/phys-359,"Brunner, Thomas","Brunner, Thomas",,
9394,PHYS359,W2021,A-,3.7,PHYS,https://www.mcgill.ca/study/2020-2021/courses/phys-359,"Brunner, Thomas; Ryan, Dominic","Brunner, Thomas","Ryan, Dominic",
9395,PHYS359,W2022,A-,3.7,PHYS,https://www.mcgill.ca/study/2021-2022/courses/phys-359,"Grutter, Peter H; Ryan, Dominic","Grutter, Peter H","Ryan, Dominic",
9396,PHYS362,W2016,B+,3.3,PHYS,https://www.mcgill.ca/study/2015-2016/courses/phys-362,"Sutton, Mark","Sutton, Mark",,
9397,PHYS362,W2017,B+,3.3,PHYS,https://www.mcgill.ca/study/2016-2017/courses/phys-362,"Grant, Martin","Grant, Martin",,
9398,PHYS362,W2018,A-,3.7,PHYS,https://www.mcgill.ca/study/2017-2018/courses/phys-362,"Grant, Martin","Grant, Martin",,
9399,PHYS362,W2019,A-,3.7,PHYS,https://www.mcgill.ca/study/2018-2019/courses/phys-362,"Francois, Paul","Francois, Paul",,
9400,PHYS362,W2021,A,4.0,PHYS,https://www.mcgill.ca/study/2020-2021/courses/phys-362,"Grant, Martin","Grant, Martin",,
9401,PHYS362,W2022,B+,3.3,PHYS,https://www.mcgill.ca/study/2021-2022/courses/phys-362,"Liu, Adrian","Liu, Adrian",,
9402,PHYS362,W2023,A-,3.7,PHYS,https://www.mcgill.ca/study/2022-2023/courses/phys-362,"Liu, Adrian","Liu, Adrian",,
9403,PHYS362,W2024,A-,3.7,PHYS,https://www.mcgill.ca/study/2023-2024/courses/phys-362,"Liu, Adrian","Liu, Adrian",,
9404,PHYS434,W2019,B,3.0,PHYS,https://www.mcgill.ca/study/2018-2019/courses/phys-434,"Graber, Vanessa","Graber, Vanessa",,
9405,PHYS434,F2019,B+,3.3,PHYS,https://www.mcgill.ca/study/2019-2020/courses/phys-434,"Cooke, David","Cooke, David",,
9406,PHYS439,F2018,A-,3.7,PHYS,https://www.mcgill.ca/study/2018-2019/courses/phys-439,"Childress, Jack","Childress, Jack",,
9407,PHYS446,F2017,B,3.0,PHYS,https://www.mcgill.ca/study/2017-2018/courses/phys-446,"Dasgupta, Keshav","Dasgupta, Keshav",,
9408,PHYS446,F2018,A-,3.7,PHYS,https://www.mcgill.ca/study/2018-2019/courses/phys-446,"Childress, Jack","Childress, Jack",,
9409,PHYS446,F2019,A-,3.7,PHYS,https://www.mcgill.ca/study/2019-2020/courses/phys-446,"Childress, Jack","Childress, Jack",,
9410,PHYS447,W2019,B+,3.3,PHYS,https://www.mcgill.ca/study/2018-2019/courses/phys-447,"Pereg-Barnea, Tamar","Pereg-Barnea, Tamar",,
9411,PHYS447,W2024,B+,3.3,PHYS,https://www.mcgill.ca/study/2023-2024/courses/phys-447,"Wang, Kai","Wang, Kai",,
9412,PHYS457,W2016,B+,3.3,PHYS,https://www.mcgill.ca/study/2015-2016/courses/phys-457,"Pereg-Barnea, Tamar","Pereg-Barnea, Tamar",,
9413,PHYS457,W2017,B,3.0,PHYS,https://www.mcgill.ca/study/2016-2017/courses/phys-457,"Clerk, Aashish","Clerk, Aashish",,
9414,PHYS457,W2018,A-,3.7,PHYS,https://www.mcgill.ca/study/2017-2018/courses/phys-457,"Harrison, Sarah","Harrison, Sarah",,
9415,PHYS457,W2019,B+,3.3,PHYS,https://www.mcgill.ca/study/2018-2019/courses/phys-457,"Harrison, Sarah","Harrison, Sarah",,
9416,PHYS457,W2021,A-,3.7,PHYS,https://www.mcgill.ca/study/2020-2021/courses/phys-457,"Agarwal, Kartiek","Agarwal, Kartiek",,
9417,PHYS457,W2022,B+,3.3,PHYS,https://www.mcgill.ca/study/2021-2022/courses/phys-457,"Agarwal, Kartiek","Agarwal, Kartiek",,
9418,PHYS457,W2023,A-,3.7,PHYS,https://www.mcgill.ca/study/2022-2023/courses/phys-457,"Jeon, Sang Yong","Jeon, Sang Yong",,
9419,PHYS457,W2024,A-,3.7,PHYS,https://www.mcgill.ca/study/2023-2024/courses/phys-457,"Cumming, Andrew","Cumming, Andrew",,
9420,PHYS459D2,W2024,A,4.0,PHYS,https://www.mcgill.ca/study/2023-2024/courses/phys-459d2,"Gale, Charles","Gale, Charles",,
9421,PHYS512,F2019,A-,3.7,PHYS,https://www.mcgill.ca/study/2019-2020/courses/phys-512,"Sievers, Jonathan Le Roy","Sievers, Jonathan Le Roy",,
9422,PHYS512,F2022,A-,3.7,PHYS,https://www.mcgill.ca/study/2022-2023/courses/phys-512,"Sievers, Jonathan Le Roy","Sievers, Jonathan Le Roy",,
9423,PHYS512,F2023,A-,3.7,PHYS,https://www.mcgill.ca/study/2023-2024/courses/phys-512,"Cumming, Andrew","Cumming, Andrew",,
9424,PHYS514,W2019,B+,3.3,PHYS,https://www.mcgill.ca/study/2018-2019/courses/phys-514,"Maloney, Alexander","Maloney, Alexander",,
9425,PHYS514,W2021,A-,3.7,PHYS,https://www.mcgill.ca/study/2020-2021/courses/phys-514,"Maloney, Alexander","Maloney, Alexander",,
9426,PHYS514,W2022,A,4.0,PHYS,https://www.mcgill.ca/study/2021-2022/courses/phys-514,"Maloney, Alexander","Maloney, Alexander",,
9427,PHYS514,W2023,A-,3.7,PHYS,https://www.mcgill.ca/study/2022-2023/courses/phys-514,"Maloney, Alexander","Maloney, Alexander",,
9428,PHYS514,W2024,A-,3.7,PHYS,https://www.mcgill.ca/study/2023-2024/courses/phys-514,"Maloney, Alexander","Maloney, Alexander",,
9429,PHYS519,W2018,A-,3.7,PHYS,https://www.mcgill.ca/study/2017-2018/courses/phys-519,"Francois, Paul","Francois, Paul",,
9430,PHYS519,W2022,B+,3.3,PHYS,https://www.mcgill.ca/study/2021-2022/courses/phys-519,"Francois, Paul","Francois, Paul",,
9431,PHYS521,F2017,A-,3.7,PHYS,https://www.mcgill.ca/study/2017-2018/courses/phys-521,"Haggard, Daryl","Haggard, Daryl",,
