Class,Course,TermName,ClassAveLetter,ClassAveNum,Credits,
ANAT315-202109,ANAT315,F2021,B+,3.3,3,1
ANAT315-202209,ANAT315,F2022,B,3.0,3,1
ANAT315-202309,ANAT315,F2023,B+,3.3,3,1
ANAT316-201501,ANAT316,W2015,A-,3.7,3,0
ANAT316-201701,ANAT316,W2017,B+,3.3,3,0
ANAT316-201801,ANAT316,W2018,B+,3.3,3,0
ANAT316-201901,ANAT316,W2019,B+,3.3,3,0
ANAT316-202101,ANAT316,W2021,A-,3.7,3,0
ANAT316-202201,ANAT316,W2022,B+,3.3,3,0
ANAT316-202301,ANAT316,W2023,B+,3.3,3,0
ANAT316-202401,ANAT316,W2024,B,3.0,3,0
ANAT321-201509,ANAT321,F2015,A-,3.7,3,1
ANAT321-201609,ANAT321,F2016,A-,3.7,3,1
ANAT321-201709,ANAT321,F2017,A-,3.7,3,1
ANAT321-201809,ANAT321,F2018,A,4.0,3,1
ANAT321-201909,ANAT321,F2019,A,4.0,3,1
ANAT321-202009,ANAT321,F2020,A,4.0,3,1
ANAT321-202109,ANAT321,F2021,A-,3.7,3,1
ANAT321-202209,ANAT321,F2022,A-,3.7,3,1
ANAT321-202309,ANAT321,F2023,A-,3.7,3,1
ANAT322-201501,ANAT322,W2015,B+,3.3,3,0
ANAT322-201701,ANAT322,W2017,B+,3.3,3,0
ANAT322-201801,ANAT322,W2018,B+,3.3,3,0
ANAT322-201901,ANAT322,W2019,B+,3.3,3,0
ANAT322-202101,ANAT322,W2021,A-,3.7,3,0
ANAT322-202201,ANAT322,W2022,B,3.0,3,0
ANAT322-202301,ANAT322,W2023,B,3.0,3,0
ANAT322-202401,ANAT322,W2024,B+,3.3,3,0
ANAT323-201509,ANAT323,F2015,B+,3.3,3,1
ANAT323-202109,ANAT323,F2021,A-,3.7,3,1
ANAT323-202209,ANAT323,F2022,A-,3.7,3,1
ANAT365-201409,ANAT365,F2014,B-,2.7,3,0
ANAT365-201509,ANAT365,F2015,B,3.0,3,0
ANAT365-201709,ANAT365,F2017,B+,3.3,3,0
ANAT365-201809,ANAT365,F2018,B,3.0,3,0
ANAT365-201909,ANAT365,F2019,B+,3.3,3,0
ANAT365-202009,ANAT365,F2020,A-,3.7,3,0
ANAT365-202109,ANAT365,F2021,B,3.0,3,0
ANAT365-202209,ANAT365,F2022,B-,2.7,3,0
ANAT365-202309,ANAT365,F2023,B,3.0,3,0
ANAT381-201809,ANAT381,F2018,B+,3.3,3,1
ANAT381-201909,ANAT381,F2019,B,3.0,3,1
ANAT381-202009,ANAT381,F2020,A-,3.7,3,1
ANAT381-202109,ANAT381,F2021,B,3.0,3,1
ANAT381-202209,ANAT381,F2022,B,3.0,3,1
ANAT381-202309,ANAT381,F2023,B,3.0,3,1
ANAT416-201601,ANAT416,W2016,A-,3.7,3,0
ANAT416-201801,ANAT416,W2018,B+,3.3,3,0
ANAT416-201901,ANAT416,W2019,A-,3.7,3,0
ANAT416-202101,ANAT416,W2021,A-,3.7,3,0
ANAT416-202201,ANAT416,W2022,A-,3.7,3,0
ANAT416-202401,ANAT416,W2024,A,4.0,3,0
ANAT458-201701,ANAT458,W2017,B+,3.3,3,1
ANAT514-202301,ANAT514,W2023,A,4.0,3,0
ANAT541-201801,ANAT541,W2018,B+,3.3,3,1
ANAT541-202101,ANAT541,W2021,A-,3.7,3,1
ANAT541-202201,ANAT541,W2022,A-,3.7,3,1
ANAT541-202301,ANAT541,W2023,A-,3.7,3,1
ANAT541-202401,ANAT541,W2024,A,4.0,3,1
ANSC234-201701,ANSC234,W2017,B,3.0,3,0
ANSC234-201801,ANSC234,W2018,B,3.0,3,0
ANSC234-201901,ANSC234,W2019,B,3.0,3,0
ANSC234-202101,ANSC234,W2021,A-,3.7,3,0
ANSC234-202201,ANSC234,W2022,A-,3.7,3,0
ANSC234-202301,ANSC234,W2023,B,3.0,3,0
ANSC250-201609,ANSC250,F2016,B+,3.3,3,1
ANSC250-201709,ANSC250,F2017,B+,3.3,3,1
ANSC250-201809,ANSC250,F2018,A-,3.7,3,1
ANSC250-201909,ANSC250,F2019,B+,3.3,3,1
ANSC250-202009,ANSC250,F2020,B+,3.3,3,1
ANSC250-202109,ANSC250,F2021,B+,3.3,3,1
ANSC312-201701,ANSC312,W2017,B+,3.3,3,0
ANSC312-201901,ANSC312,W2019,B+,3.3,3,0
ANSC323-201609,ANSC323,F2016,B+,3.3,3,1
ANSC323-201709,ANSC323,F2017,B+,3.3,3,1
ANSC323-201809,ANSC323,F2018,B+,3.3,3,1
ANSC323-201909,ANSC323,F2019,B,3.0,3,1
ANSC323-202009,ANSC323,F2020,A-,3.7,3,1
ANSC323-202209,ANSC323,F2022,B+,3.3,3,1
ANSC323-202309,ANSC323,F2023,B,3.0,3,1
ANSC350-201701,ANSC350,W2017,A-,3.7,3,0
ANSC350-201801,ANSC350,W2018,A-,3.7,3,0
ANSC350-202401,ANSC350,W2024,B+,3.3,3,0
ANSC400-201801,ANSC400,W2018,B+,3.3,3,1
ANSC400-201901,ANSC400,W2019,A-,3.7,3,1
ANSC400-202201,ANSC400,W2022,B+,3.3,3,1
ANSC400-202401,ANSC400,W2024,A,4.0,3,1
ANSC420-201709,ANSC420,F2017,A-,3.7,3,0
ANSC420-201809,ANSC420,F2018,B+,3.3,3,0
ANSC420-202309,ANSC420,F2023,B+,3.3,3,0
ANSC424-201701,ANSC424,W2017,B+,3.3,3,1
ANSC424-201801,ANSC424,W2018,B+,3.3,3,1
ANSC424-201901,ANSC424,W2019,B+,3.3,3,1
ANSC424-202101,ANSC424,W2021,A,4.0,3,1
ANSC424-202301,ANSC424,W2023,B+,3.3,3,1
ANSC560-201809,ANSC560,F2018,A-,3.7,3,0
ANTH201-201509,ANTH201,F2015,B+,3.3,3,1
ANTH201-201701,ANTH201,W2017,B+,3.3,3,1
ANTH201-201705,ANTH201,S2017,A-,3.7,3,1
ANTH201-201801,ANTH201,W2018,B+,3.3,3,1
ANTH201-201805,ANTH201,S2018,A-,3.7,3,1
ANTH201-201901,ANTH201,W2019,A-,3.7,3,1
ANTH201-201905,ANTH201,S2019,A-,3.7,3,1
ANTH201-202005,ANTH201,S2020,A-,3.7,3,1
ANTH201-202101,ANTH201,W2021,A-,3.7,3,1
ANTH201-202105,ANTH201,S2021,A-,3.7,3,1
ANTH201-202201,ANTH201,W2022,A-,3.7,3,1
ANTH201-202209,ANTH201,F2022,A-,3.7,3,1
ANTH201-202309,ANTH201,F2023,A-,3.7,3,1
ANTH202-201209,ANTH202,F2012,B+,3.3,3,0
ANTH202-201309,ANTH202,F2013,B+,3.3,3,0
ANTH202-201409,ANTH202,F2014,B+,3.3,3,0
ANTH202-201509,ANTH202,F2015,B+,3.3,3,0
ANTH202-201609,ANTH202,F2016,B+,3.3,3,0
ANTH202-201705,ANTH202,S2017,B+,3.3,3,0
ANTH202-201709,ANTH202,F2017,B+,3.3,3,0
ANTH202-201809,ANTH202,F2018,B+,3.3,3,0
ANTH202-201905,ANTH202,S2019,A-,3.7,3,0
ANTH202-201909,ANTH202,F2019,B+,3.3,3,0
ANTH202-202009,ANTH202,F2020,A-,3.7,3,0
ANTH202-202109,ANTH202,F2021,A-,3.7,3,0
ANTH202-202209,ANTH202,F2022,B+,3.3,3,0
ANTH202-202401,ANTH202,W2024,A-,3.7,3,0
ANTH202-202405,ANTH202,S2024,A,4.0,3,0
ANTH203-201601,ANTH203,W2016,B,3.0,3,1
ANTH203-201609,ANTH203,F2016,B+,3.3,3,1
ANTH203-201709,ANTH203,F2017,B,3.0,3,1
ANTH203-201901,ANTH203,W2019,B+,3.3,3,1
ANTH204-201201,ANTH204,W2012,C+,2.3,3,0
ANTH204-201701,ANTH204,W2017,B,3.0,3,0
ANTH204-201801,ANTH204,W2018,A-,3.7,3,0
ANTH204-201901,ANTH204,W2019,B+,3.3,3,0
